team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Finland National Team,Finland,2024,Finland,10,5,5,0,6,3,3,0,0,0,4,2,2,1.8,1.8,1.8,3,0,0,13,18,10,8,28,16,12,13,5,3,7,10,-2,50,35,90,90,150,64,5,3,2,3,1,2,2,1,1,7,4,3,43,20,23,12,5,7,56,54,58,89,57,32,48,27,21,41,30,11,115,54,61,6,5,1,3,0,3,3,5,-2,5,4,1,3,1,2,2,0,2,1.8,2.6,1,2.8,3.2,2.4,1.8,2.6,1,1,0.6,1.4,0.9,1,0.8,0.6,1,0.2,0.3,0,0.6,10,7,6,3,1,1,5,4,3,2,1,1,5,3,3,1,0,0,0,3,4,7,9,9,0,1,2,3,4,4,0,2,2,4,5,5,100,70,60,30,10,10,100,80,60,40,20,20,100,60,60,20,0,0,0,30,40,70,90,90,0,20,40,60,80,80,0,40,40,80,100,100,7,2,0,4,1,0,3,1,0,70,20,0,80,20,0,60,20,0,60,60,60,42,50,60,40,30,20,40,20,20,20,70,80,60,8,5,3,80,100,60,5,1,4,50,20,80,0,0,0,0,0,0,50,80,20,30,20,40,20,0,40,4.30,4.00,4.60,1.2,1,1.40,80,50,30,20,20,10,10,0,1.30,1.47,1.12,1.17,1.13,1.21,60,0,2,2,1,3,2,2,5,1,0,1,2,0,0,0,0,1,6,0,0,0,40,40,40,0
Iceland National Team,Iceland,2024,Iceland,10,5,5,0,3,2,1,1,1,0,6,2,4,1,1.4,0.6,4,0,0,33,17,16,1,33,11,22,7,10,4,12,3,-2,53,64,45,56,113,38,3,2,1,4,2,2,3,1,2,5,3,2,46,22,24,22,10,12,52,49,54,99,46,53,56,23,33,43,23,20,125,63,62,7,4,3,7,1,6,0,3,-3,3,2,1,3,3,0,4,0,4,1.2,1.8,0.6,3.3,2.2,4.4,1.7,1.4,2,1.6,0.8,2.4,1.4,1,1.8,0.7,0.8,0.6,0.7,0.2,1.2,10,8,6,4,2,2,5,3,2,1,0,0,5,5,4,3,2,2,0,2,4,6,8,8,0,2,3,4,5,5,0,0,1,2,3,3,100,80,60,40,20,20,100,60,40,20,0,0,100,100,80,60,40,40,0,20,40,60,80,80,0,40,60,80,100,100,0,0,20,40,60,60,8,5,1,3,2,0,5,3,1,80,50,10,60,40,0,100,60,20,30,40,20,16,30,40,20,40,40,40,30,20,40,50,60,40,5,4,1,50,80,20,5,2,3,50,40,60,2,1,1,20,20,20,30,40,20,30,60,0,40,0,80,4.60,4.40,4.80,2.2,2,2.40,100,90,70,70,50,40,30,30,1.37,1.25,1.49,1.39,1.16,1.61,90,1,1,2,1,4,0,2,2,4,1,1,2,3,2,1,4,0,2,10,20,0,60,40,80,0
Gibraltar National Team,Gibraltar,2024,Gibraltar,8,4,4,0,0,0,0,0,0,0,8,4,4,0,0,0,5,0,0,52,0,41,-41,41,16,25,0,0,16,25,-16,-25,0,0,0,18,23,14,0,0,0,0,0,0,8,4,4,0,0,0,5,3,2,11,3,8,23,23,23,12,10,2,4,2,2,8,8,0,53,32,21,0,0,0,19,9,10,-19,-9,-10,0,0,0,1,0,1,7,4,3,0.13,0,0.25,5.13,4,6.25,0,0,0,5.13,4,6.25,2.38,2.25,2.5,0,0,0,2.38,2.25,2.5,8,8,8,4,3,2,4,4,4,2,1,1,4,4,4,2,2,1,0,0,0,4,5,6,0,0,0,2,3,3,0,0,0,2,2,3,100,100,100,50,38,25,100,100,100,50,25,25,100,100,100,50,50,25,0,0,0,50,62,75,0,0,0,50,75,75,0,0,0,50,50,75,7,6,2,4,4,1,3,2,1,88,75,25,100,100,25,75,50,25,0,0,0,11,0,0,0,0,0,0,100,100,100,0,0,0,1,0,1,13,0,25,8,4,4,100,100,100,0,0,0,0,0,0,0,0,0,13,0,25,88,100,75,0.63,0.75,0.50,1.38,0.75,2.00,100,88,88,75,75,75,50,38,0.15,0.21,0.10,3.41,2.96,3.87,150,0,0,0,0,0,0,0,0,0,6,2,5,4,4,4,4,4,8,0,0,0,100,100,100,38
Belarus National Team,Belarus,2024,Belarus,10,5,5,0,3,2,1,3,1,2,4,2,2,1.2,1.4,1,4,0,0,28,9,14,-5,23,12,11,4,5,8,6,-4,-1,100,113,90,64,56,75,4,2,2,4,2,2,4,2,2,4,3,1,32,15,17,30,10,20,42,41,43,87,43,44,41,20,21,46,23,23,115,57,58,2,1,1,6,3,3,-4,-2,-2,2,1,1,5,3,2,3,1,2,1.1,1.2,1,2.3,2.4,2.2,0.9,0.8,1,1.4,1.6,1.2,0.8,0.8,0.8,0.2,0.2,0.2,0.6,0.6,0.6,8,5,5,2,2,1,4,3,3,1,1,0,4,2,2,1,1,1,2,5,5,8,8,9,1,2,2,4,4,5,1,3,3,4,4,4,80,50,50,20,20,10,80,60,60,20,20,0,80,40,40,20,20,20,20,50,50,80,80,90,20,40,40,80,80,100,20,60,60,80,80,80,5,2,1,2,1,1,3,1,0,50,20,10,40,20,20,60,20,0,30,40,20,-13,40,40,40,40,40,40,40,40,40,40,60,20,7,4,3,70,80,60,8,4,4,80,80,80,0,0,0,0,0,0,20,20,20,50,60,40,30,20,40,3.20,3.00,3.40,3,2,4.00,80,80,80,60,40,30,20,10,1.00,1.01,0.99,1.77,1.81,1.73,70,0,1,0,0,1,0,2,2,3,1,3,2,0,0,0,2,0,6,30,20,40,40,40,40,10
Czech Republic National Team,Czech Republic,2024,Czech Republic,8,4,4,0,4,3,1,3,1,2,1,0,1,1.88,2.5,1.25,2,0,0,20,12,6,6,18,10,8,8,4,2,4,6,0,60,45,90,120,180,90,4,2,2,3,2,1,2,0,2,5,4,1,41,21,20,15,8,7,55,54,57,110,60,50,50,28,22,60,32,28,98,55,43,5,3,2,2,0,2,3,3,0,3,2,1,3,2,1,2,0,2,1.5,2,1,2.25,2.5,2,1.5,2,1,0.75,0.5,1,0.88,0.75,1,0.63,0.75,0.5,0.25,0,0.5,7,6,4,1,0,0,4,3,2,1,0,0,3,3,2,0,0,0,1,2,4,7,8,8,0,1,2,3,4,4,1,1,2,4,4,4,88,75,50,13,0,0,100,75,50,25,0,0,75,75,50,0,0,0,12,25,50,87,100,100,0,25,50,75,100,100,25,25,50,100,100,100,5,2,0,2,1,0,3,1,0,63,25,0,50,25,0,75,25,0,50,75,25,33,50,50,50,38,50,25,25,0,50,63,100,25,6,4,2,75,100,50,5,2,3,63,50,75,0,0,0,0,0,0,38,50,25,38,50,25,25,0,50,5.13,5.25,5.00,1.88,2,1.75,63,38,13,13,13,0,0,0,1.83,1.95,1.71,0.84,0.85,0.84,25,2,2,0,0,2,1,1,3,1,1,0,0,1,0,1,1,1,1,38,25,50,13,0,25,0
Montenegro National Team,Montenegro,2024,Montenegro,8,4,4,0,3,2,1,2,1,1,3,1,2,1.38,1.75,1,3,0,0,31,9,11,-2,20,7,13,4,5,3,8,1,-3,80,90,72,65,120,45,3,2,1,4,1,3,2,2,0,4,2,2,34,16,18,27,15,12,42,42,42,88,48,40,49,23,26,39,25,14,115,58,57,4,2,2,1,0,1,3,2,1,3,2,1,5,2,3,0,0,0,1.75,2,1.5,2.5,1.75,3.25,1.13,1,1.25,1.38,0.75,2,0.63,0.5,0.75,0.5,0.5,0.5,0.13,0,0.25,7,6,4,3,0,0,3,3,1,0,0,0,4,3,3,3,0,0,1,2,4,5,8,8,1,1,3,4,4,4,0,1,1,1,4,4,88,75,50,38,0,0,75,75,25,0,0,0,100,75,75,75,0,0,12,25,50,62,100,100,25,25,75,100,100,100,0,25,25,25,100,100,4,1,0,2,0,0,2,1,0,50,13,0,50,0,0,50,25,0,38,50,25,17,38,50,25,50,25,75,25,50,0,50,50,50,7,4,3,88,100,75,4,2,2,50,50,50,1,0,1,13,0,25,38,50,25,63,50,75,0,0,0,4.25,4.00,4.50,3.38,3.75,3.00,75,50,38,13,0,0,0,0,1.43,1.47,1.38,1.34,1.15,1.52,38,1,0,0,2,2,0,1,1,2,1,0,0,0,0,0,2,5,3,25,25,25,38,25,50,0
Switzerland National Team,Switzerland,2024,Switzerland,10,5,5,0,4,2,2,5,3,2,1,0,1,1.7,1.8,1.6,2,0,0,17,22,11,11,33,18,15,12,10,6,5,6,5,41,38,45,82,75,90,3,2,1,6,3,3,1,0,1,9,5,4,59,39,20,20,10,10,72,76,67,145,82,63,71,35,36,74,47,27,92,36,56,11,4,7,0,0,0,11,4,7,7,3,4,3,2,1,0,0,0,2.4,2.2,2.6,3.3,3.6,3,2.2,2.4,2,1.1,1.2,1,1.1,0.8,1.4,1.1,0.8,1.4,0,0,0,10,9,7,4,2,1,5,5,4,2,1,1,5,4,3,2,1,0,0,1,3,6,8,9,0,0,1,3,4,4,0,1,2,3,4,5,100,90,70,40,20,10,100,100,80,40,20,20,100,80,60,40,20,0,0,10,30,60,80,90,0,0,20,60,80,80,0,20,40,60,80,100,7,3,1,3,1,0,4,2,1,70,30,10,60,20,0,80,40,20,40,40,40,0,30,40,20,60,60,60,10,0,20,90,100,80,10,5,5,100,100,100,3,2,1,30,40,20,0,0,0,0,0,0,70,60,80,30,40,20,0,0,0,5.90,7.80,4.00,2,2,2.00,70,50,40,40,30,20,20,20,2.16,2.38,1.93,0.82,0.65,0.99,100,2,2,3,3,4,1,2,1,4,0,0,0,0,1,0,4,0,6,50,60,40,10,0,20,10
Serbia National Team,Serbia,2024,Serbia,8,4,4,0,4,2,2,2,1,1,2,1,1,1.75,1.75,1.75,2,0,0,23,15,9,6,24,13,11,8,7,5,4,3,3,48,45,51,80,72,90,2,1,1,6,3,3,0,0,0,6,4,2,47,25,22,12,2,10,60,57,63,99,56,43,45,26,19,54,30,24,93,50,43,8,4,4,6,3,3,2,1,1,3,2,1,3,1,2,2,1,1,1.5,1.75,1.25,3,3.25,2.75,1.88,2,1.75,1.13,1.25,1,1.75,1.75,1.75,1,1,1,0.75,0.75,0.75,8,8,5,3,0,0,4,4,3,2,0,0,4,4,2,1,0,0,0,0,3,5,8,8,0,0,1,2,4,4,0,0,2,3,4,4,100,100,63,38,0,0,100,100,75,50,0,0,100,100,50,25,0,0,0,0,37,62,100,100,0,0,25,50,100,100,0,0,50,75,100,100,6,4,3,4,2,1,2,2,2,75,50,38,100,50,25,50,50,50,50,50,50,-3,25,25,25,75,75,75,0,0,0,75,100,50,4,2,2,50,50,50,2,0,2,25,0,50,4,2,2,50,50,50,38,50,25,38,25,50,25,25,25,5.88,6.25,5.50,1.5,0.5,2.50,63,50,38,25,25,25,25,13,1.68,1.85,1.50,0.91,0.87,0.95,88,2,2,1,2,1,1,0,3,3,0,1,0,4,2,1,1,0,0,25,25,25,25,25,25,0
Andorra National Team,Andorra,2024,Andorra,10,5,5,0,0,0,0,2,1,1,8,4,4,0.2,0.2,0.2,6,0,0,46,3,20,-17,23,10,13,1,2,9,11,-8,-9,300,450,225,45,50,41,1,1,0,3,1,2,7,4,3,0,0,0,13,7,6,29,13,16,23,24,22,43,23,20,24,14,10,19,9,10,129,61,68,0,0,0,9,5,4,-9,-5,-4,0,0,0,4,1,3,6,4,2,0.4,0.2,0.6,2.3,2,2.6,0.3,0.2,0.4,2,1.8,2.2,0.9,1,0.8,0,0,0,0.9,1,0.8,9,8,5,1,0,0,4,4,2,0,0,0,5,4,3,1,0,0,1,2,5,9,10,10,1,1,3,5,5,5,0,1,2,4,5,5,90,80,50,10,0,0,80,80,40,0,0,0,100,80,60,20,0,0,10,20,50,90,100,100,20,20,60,100,100,100,0,20,40,80,100,100,6,2,1,4,1,0,2,1,1,60,20,10,80,20,0,40,20,20,0,0,0,-12,10,20,0,30,20,40,70,80,60,0,0,0,4,1,3,40,20,60,10,5,5,100,100,100,0,0,0,0,0,0,0,0,0,40,20,60,60,80,40,1.30,1.40,1.20,2.9,2.6,3.20,40,30,20,20,0,0,0,0,0.46,0.52,0.40,1.79,1.70,1.89,60,0,0,0,0,0,1,2,0,0,1,0,4,2,5,1,1,1,5,20,20,20,80,80,80,0
Austria National Team,Austria,2024,Austria,8,4,4,0,6,3,3,1,0,1,1,1,0,2.38,2.25,2.5,2,0,0,10,17,7,10,24,15,9,10,7,5,2,5,5,42,36,51,102,72,180,3,1,2,5,3,2,0,0,0,6,2,4,42,23,19,15,6,9,56,59,53,119,79,40,63,43,20,56,36,20,81,44,37,5,2,3,2,2,0,3,0,3,3,1,2,3,1,2,2,2,0,1.5,1,2,3,3.75,2.25,2.13,2.5,1.75,0.88,1.25,0.5,0.88,1,0.75,0.63,0.5,0.75,0.25,0.5,0,8,7,4,3,2,0,4,4,3,2,2,0,4,3,1,1,0,0,0,1,4,5,6,8,0,0,1,2,2,4,0,1,3,3,4,4,100,88,50,38,25,0,100,100,75,50,50,0,100,75,25,25,0,0,0,12,50,62,75,100,0,0,25,50,50,100,0,25,75,75,100,100,5,2,0,3,1,0,2,1,0,63,25,0,75,25,0,50,25,0,75,75,75,-13,38,25,50,63,75,50,0,0,0,75,50,100,6,2,4,75,50,100,5,3,2,63,75,50,0,0,0,0,0,0,38,25,50,38,25,50,25,50,0,5.25,5.75,4.75,1.88,1.5,2.25,75,75,75,63,38,38,38,13,1.91,2.47,1.33,0.94,0.91,0.97,113,0,0,4,1,2,2,3,1,4,0,1,1,0,0,2,2,0,1,13,0,25,13,25,0,0
